Scan Code,Modifier,Description,Price,Cost,Units/Case,Department # In register,Tax Type # In register,Is Foodstampable,Current Inventory,Price Group Name,Vendor Name,Linked Item
088573331080,,SHINER BOCK 2/12/12OZ CAN-12/96,20.79,,2,,,,,,,
088573331011,,SHINER BOCK 4/6/12OZ BTL-12/60,11.79,,4,,,,,,,
088573400021,,SHINER LIGHT BLONDE 4/6/12OZ BTL-12/60,11.79,,4,,,,,,,
8.10079E+11,,SIMPLY SPIKED LEMONADE VRTY 2/12/12OZ CAN-13/110,21.39,,2,,,,,,,
082000725695,,SMIRN ICE 12/24OZ BTL-15/60,3.99,,12,,,,,,,
082000723851,,SMIRN ICE 4/6/11.2OZ BTL-12/72,11.69,,4,,,,,,,
082000762126,,SMIRN ICE SCREWDRIVER 12/24OZ BTL-15/60,3.99,,12,,,,,,,
082000757481,,SMIRN ICE SCREWDRIVER 4/6/11.2OZ BTL-12/72,12.69,,4,,,,,,,
082000786252,,SMIRN SMASH PEACH MANGO 12/23.5OZ CAN-17/102,3.99,,12,,,,,,,
089826130283,,SOL CHELADA 12/24OZ CAN-17/120,3.99,,12,,,,,,,
078250003287,,STEEL RESERVE HIGH GRAVITY 12/24OZ CAN-14/98,2.99,,12,,,,,,,
078250003348,,STEEL RESERVE HIGH GRAVITY 12/42OZ BTL-10/50,3.69,,12,,,,,,,
7.8615E+11,,STELLA ARTOIS 4/6/11.2OZ BTL-8/56,12.59,,4,,,,,,,
021136180954,,TOPO CHICO LEMON LIME 12/24OZ CAN-17/102,3.99,,12,,,,,,,
8.10079E+11,,TOPO CHICO RANCH WATER 12/24OZ CAN-17/102,3.99,,12,,,,,,,
8.10079E+11,,TOPO CHICO RANCH WATER 2/12/12OZ CAN-13/110,21.39,,2,,,,,,,
021136180879,,TOPO CHICO VRTY 2/12/12OZ CAN - 10/110,21.39,,2,,,,,,,
087692018506,,TRULY PARTY VRTY 2/12/12OZ CAN-13/104,21.39,,2,,,,,,,
87692006862,,TRULY SPIKED BERRY VRTY 2/12/12OZ SLIM CAN-13/104,21.39,,2,,,,,,,
87692009917,,TRULY SPIKED LEMONADE VRTY 2/12/12OZ SLIM CAN-13/104,21.39,,2,,,,,,,
87692012993,,TRULY SPIKED MARGARITA VRTY 2/12/12OZ CAN-13/104,20.99,,2,,,,,,,
87692009702,,TRULY SPIKED PINEAPPLE 12/24OZ CAN-17/102,3.99,,12,,,,,,,
87692012276,,TRULY SPIKED PUNCH VRTY 2/12/12OZ CAN-13/104,21.39,,2,,,,,,,
87692009511,,TRULY SPIKED WILD BERRY 12/24OZ CAN-17/102,3.99,,12,,,,,,,
87692752318,,TWISTED TEA HALF & HALF 12/24OZ CAN-17/102,3.99,,12,,,,,,,
087692751342,,TWISTED TEA HALF & HALF 2/12/12OZ CAN-10/100,21.39,,2,,,,,,,
087692832317,,TWISTED TEA ORIGINAL 12/24OZ CAN-17/102,3.99,,12,,,,,,,
087692831341,,TWISTED TEA ORIGINAL 2/12/12OZ CAN-10/100,21.39,,2,,,,,,,
087692003786,,TWISTED TEA PARTY PACK 2/12/12OZ CAN-10/100,21.39,,2,,,,,,,
087692004905,,TWISTED TEA PEACH 12/24OZ CAN-17/102,3.99,,12,,,,,,,
033544950258,,VICTORIA 12/32OZ BTL -8/40,5.09,,12,,,,,,,
080660958835,,VICTORIA 2/12/12OZ BTL -9/45,22.59,,2,,,,,,,
033544950067,,VICTORIA 2/12/12OZ CAN -9/117,21.59,,2,,,,,,,
080660958811,,VICTORIA 4/6/12OZ BTL -9/45,12.59,,4,,,,,,,
089924770251,,YUENGLING FLIGHT 2/12/12OZ SLIM CAN-11/110,21.49,,2,,,,,,,
089924770145,,YUENGLING FLIGHT 4/6/12OZ BTL-8/64,11.99,,4,,,,,,,
089924600244,,YUENGLING LAGER 12/24OZ CAN - 14/98,3.59,,12,,,,,,,
089924278962,,YUENGLING LAGER 2/12/12OZ BTL - 8/56,19.79,,2,,,,,,,
089924278986,,YUENGLING LAGER 2/12/12OZ CAN - 15/105,19.79,,2,,,,,,,
089924278917,,YUENGLING LAGER 4/6/12OZ BTL - 8/64,11.49,,4,,,,,,,
